index,Gene,MSE,r2,pearson_correlation
229,RPS20,0.1323219653013394,-0.12588577598485218,-0.04354807971976204
230,CSDE1,0.07058438308617852,-0.030704450517726967,0.1719017091687725
231,UBE3C,0.013711054238441748,-0.1932258334887078,-0.061220107574037744
232,REV3L,0.04832318352056976,-0.2039556820565389,-0.04760184948295988
233,TENM1,0.008124213643532645,-0.2104556903371506,0.012896119314581385
234,PAX7,0.010316271593222244,-0.22604217887795786,-0.09190844845651472
235,MASP2,0.013968408747923794,-0.05861063341789108,0.10040843095652661
236,IYD,0.010941029235997608,-0.06459534645674903,0.108341021469156
237,FAM76A,0.0061101535661696625,-0.14931402401180915,0.10303408848111507
238,TRAF3IP3,0.013567160210364403,-0.08539150160138154,0.09738371057940483
239,POMT2,0.012292979884067374,-0.15038805038994774,-0.044927419817769466
240,VTA1,0.03472334690749923,-0.06145460486873011,0.10352126389253681
241,MLXIPL,0.014159158500296826,-0.1681713029370271,-0.01373165950771068
242,BAZ1B,0.022475329317569508,-0.0444590094731141,0.15271872677927908
243,RANBP9,0.019661959504462083,0.017206965942853536,0.22442651875932795
244,ETV7,0.01551267028375608,-0.14975153092558524,0.022835468311104994
245,SPRTN,0.06884707248911309,-0.16402751841627672,0.0023045651421193607
246,METTL13,0.01353136069600912,-0.061663013992295124,0.12262079230378649
247,DYRK4,0.006747231037069921,-0.13512285887083753,0.10215938864267647
248,ZNF207,0.06400126706436439,-0.10702016342976939,-0.010582742790965861
249,UQCRC1,0.05402994812325504,0.06848086822489519,0.3348871223801215
250,STARD3NL,0.017892394886366625,-0.1672366821525142,0.03142460738766807
251,CD9,0.012423729990544906,-0.15398781174826692,0.012332242541117375
252,HHATL,0.007067553670145576,-0.11362165257994983,0.09694240973294625
253,NCAPD2,0.06479425924238041,-0.06431988971831104,0.033785985846959764
254,IFFO1,0.011575405008893444,-0.19484502116223745,-0.06913801727800291
255,GIPR,0.015839503148424208,-0.19217268415369593,-0.03728173617525394
256,PHF7,0.01277069166072117,-0.0803416175407079,0.07165430697194847
257,SEMA3G,0.013936347885584342,-0.1285307423189921,0.07690967491381406
258,NISCH,0.031671814996826364,-0.2094507558327885,-0.04702198801407731
259,STAB1,0.010322225111325517,-0.0756256414312182,0.14171329184498413
260,FUZ,0.012262555267097472,-0.11201894368140897,0.0501535016200975
261,SLC6A13,0.011538644262903764,-0.05778176386569056,0.15674629408478327
262,IDS,0.010039996958096983,-0.039006792874374474,0.12041288072234484
263,PRSS3,0.020107214065165996,-0.17313348340315415,-0.03052374043416234
264,ZNF200,0.013128832618817879,-0.20446531731329554,-0.05069668078729192
265,CD4,0.011007552721343992,-0.07322863819170111,0.07908956057035321
266,LRRC23,0.010179282665607983,-0.08406604083892821,0.08834544166884513
267,BTK,0.008917076098996264,-0.14774619151149349,0.10601649153476432
268,HFE,0.009553507601203947,-0.09125390539801614,0.06079362759118823
269,SCMH1,0.012817703887293194,-0.16144504728811948,0.011366580171724901
270,FYN,0.011870083617165758,-0.1700603998730872,-0.005799554717246811
271,HIVEP2,0.016031023316634627,-0.005489290751651277,0.1650963501931182
272,FMO1,0.021551293401792248,-0.15301934700581032,-0.03557808864312803
273,ELOA,0.057577371507213655,0.10824405406345616,0.3642973843235128
274,LYPLA2,0.02033001682763184,-0.09038893329232645,0.0817478434721369
